,Country,Total_Cases,New_cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_1M_Pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop,Population
200,Timor-Leste,122,+3, ,,94,28,,91,,"22,651","16,962","1,335,380 "
201,New Caledonia,67,+9, ,,58,9,,233,,"23,194","80,715","287,358 "
202,Fiji,63,,2 ,,55,6,,70,2,"31,695","35,183","900,852 "
203,Falkland Islands,54,, ,,51,3,,"15,220",,"7,040","1,984,216","3,548 "
204,Macao,48,, ,,47,1,,73,,"4,369","6,667","655,321 "
205,Laos,47,, ,,42,5,,6,,"116,182","15,814","7,346,928 "
206,Saint Kitts and Nevis,41,, ,,41,0,,767,,"9,895","185,112","53,454 "
207,Greenland,31,, ,,30,1,,545,,"19,380","340,975","56,837 "
208,Vatican City,27,, ,,15,12,,"33,666",,,,802 
209,Saint Pierre Miquelon,24,, ,,16,8,,"4,156",,"3,729","645,714","5,775 "
210,Montserrat,20,,1 ,,14,5,,"4,005",200,947,"189,628","4,994 "
211,Anguilla,18,, ,,18,0,,"1,193",,"9,742","645,422","15,094 "
212,Solomon Islands,18,, ,,14,4,,26,,"4,500","6,445","698,211 "
213,Western Sahara,10,,1 ,,8,1,,16,2,,,"607,214 "
214,Wallis and Futuna,10,+1, ,,7,3,1,901,,"1,202","108,249","11,104 "
215,MS Zaandam,9,,2 ,,7,0,,,,,, 
216,Marshall Islands,4,, ,,4,0,,67,,,,"59,461 "
217,Samoa,3,, ,,2,1,,15,,,,"199,309 "
218,Micronesia,1,, ,,1,0,,9,,,,"115,840 "
219,Vanuatu,1,, ,,1,0,,3,,470,"1,507","311,974 "
228,Total:,"117,429,672","+360,877","2,604,758","+5,494","92,934,105","21,890,809","89,738","15,065.1",334.2,,,
